/usr/local/lib/python3.10/dist-packages/torch/utils/_pytree.py:185: FutureWarning: optree is installed but the version is too old to support PyTorch Dynamo in C++ pytree. C++ pytree support is disabled. Please consider upgrading optree using `python3 -m pip install --upgrade 'optree>=0.13.0'`.
  warnings.warn(
/usr/lib/python3/dist-packages/requests/__init__.py:87: RequestsDependencyWarning: urllib3 (2.5.0) or chardet (4.0.0) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({}) doesn't match a supported "
wandb: Currently logged in as: bloggerwang1217 (bloggerwang1217-national-taiwan-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run zybglac6
wandb: Tracking run with wandb version 0.23.0
wandb: Run data is saved locally in /home/bloggerwang/robot-vaccum-rl/wandb/run-20251118_083119-zybglac6
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run collision-10-energy-200-epsilon-0.3
wandb: ⭐️ View project at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl
wandb: 🚀 View run at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl/runs/zybglac6
Using device: cuda
[Episode 45] Steps: 188 | Survival: 3/4 | Mean Reward: 38.13 | Collisions: 52 | Kills: 1
[Episode 46] Steps: 52 | Survival: 3/4 | Mean Reward: 12.10 | Collisions: 13 | Kills: 0
[Episode 47] Steps: 49 | Survival: 3/4 | Mean Reward: 11.40 | Collisions: 22 | Kills: 0
[Episode 48] Steps: 58 | Survival: 3/4 | Mean Reward: 15.19 | Collisions: 18 | Kills: 0
[Episode 49] Steps: 40 | Survival: 3/4 | Mean Reward: 11.62 | Collisions: 19 | Kills: 0
[Episode 50] Steps: 117 | Survival: 3/4 | Mean Reward: 28.82 | Collisions: 36 | Kills: 0
[Episode 51] Steps: 74 | Survival: 3/4 | Mean Reward: 12.26 | Collisions: 29 | Kills: 0
[Episode 52] Steps: 82 | Survival: 3/4 | Mean Reward: 20.10 | Collisions: 24 | Kills: 2
[Episode 53] Steps: 62 | Survival: 3/4 | Mean Reward: 12.92 | Collisions: 16 | Kills: 0
[Episode 54] Steps: 159 | Survival: 3/4 | Mean Reward: 38.62 | Collisions: 47 | Kills: 1
[Episode 55] Steps: 55 | Survival: 3/4 | Mean Reward: 14.57 | Collisions: 34 | Kills: 0
[Episode 56] Steps: 243 | Survival: 3/4 | Mean Reward: 75.83 | Collisions: 48 | Kills: 0
[Episode 57] Steps: 500 | Survival: 4/4 | Mean Reward: 159.99 | Collisions: 59 | Kills: 0
[Episode 58] Steps: 343 | Survival: 3/4 | Mean Reward: 103.31 | Collisions: 58 | Kills: 2
[Episode 59] Steps: 94 | Survival: 3/4 | Mean Reward: 27.65 | Collisions: 35 | Kills: 2
[Episode 60] Steps: 500 | Survival: 4/4 | Mean Reward: 168.63 | Collisions: 52 | Kills: 0
[Episode 61] Steps: 500 | Survival: 4/4 | Mean Reward: 168.99 | Collisions: 40 | Kills: 0
[Episode 62] Steps: 500 | Survival: 4/4 | Mean Reward: 172.71 | Collisions: 40 | Kills: 0
[Episode 63] Steps: 500 | Survival: 4/4 | Mean Reward: 169.19 | Collisions: 34 | Kills: 0
[Episode 64] Steps: 500 | Survival: 4/4 | Mean Reward: 166.40 | Collisions: 44 | Kills: 0
[Episode 65] Steps: 245 | Survival: 3/4 | Mean Reward: 77.92 | Collisions: 44 | Kills: 0
[Episode 66] Steps: 228 | Survival: 3/4 | Mean Reward: 70.12 | Collisions: 46 | Kills: 0
[Episode 67] Steps: 225 | Survival: 3/4 | Mean Reward: 71.08 | Collisions: 41 | Kills: 1
[Episode 68] Steps: 349 | Survival: 3/4 | Mean Reward: 112.07 | Collisions: 49 | Kills: 2
[Episode 69] Steps: 500 | Survival: 4/4 | Mean Reward: 172.44 | Collisions: 28 | Kills: 0
