/usr/local/lib/python3.10/dist-packages/torch/utils/_pytree.py:185: FutureWarning: optree is installed but the version is too old to support PyTorch Dynamo in C++ pytree. C++ pytree support is disabled. Please consider upgrading optree using `python3 -m pip install --upgrade 'optree>=0.13.0'`.
  warnings.warn(
/usr/lib/python3/dist-packages/requests/__init__.py:87: RequestsDependencyWarning: urllib3 (2.5.0) or chardet (4.0.0) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({}) doesn't match a supported "
wandb: Currently logged in as: bloggerwang1217 (bloggerwang1217-national-taiwan-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run zn2f87km
wandb: Tracking run with wandb version 0.23.0
wandb: Run data is saved locally in /home/bloggerwang/robot-vaccum-rl/scripts/wandb/run-20251119_052729-zn2f87km
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run move-50-collision-50-energy-100-epsilon-decay
wandb: ⭐️ View project at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl
wandb: 🚀 View run at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl/runs/zn2f87km
Using device: cuda
[Episode 36] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 37] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 1 | Kills: 1 | Immediate Kills: 0
[Episode 38] Steps: 2 | Survival: 1/4 | Mean Reward: -0.74 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 39] Steps: 2 | Survival: 2/4 | Mean Reward: -0.60 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 40] Steps: 2 | Survival: 1/4 | Mean Reward: -0.74 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 41] Steps: 2 | Survival: 2/4 | Mean Reward: -0.61 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 42] Steps: 2 | Survival: 2/4 | Mean Reward: -0.60 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 43] Steps: 2 | Survival: 1/4 | Mean Reward: -0.72 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 44] Steps: 2 | Survival: 1/4 | Mean Reward: -0.74 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 45] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 2 | Kills: 1 | Immediate Kills: 0
[Episode 46] Steps: 2 | Survival: 2/4 | Mean Reward: -0.22 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 47] Steps: 2 | Survival: 2/4 | Mean Reward: -0.23 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 48] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 49] Steps: 2 | Survival: 1/4 | Mean Reward: -0.86 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 50] Steps: 2 | Survival: 1/4 | Mean Reward: -0.74 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 51] Steps: 2 | Survival: 2/4 | Mean Reward: -0.23 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 52] Steps: 2 | Survival: 1/4 | Mean Reward: -0.74 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 53] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 2 | Kills: 0 | Immediate Kills: 0
[Episode 54] Steps: 2 | Survival: 2/4 | Mean Reward: -0.61 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 55] Steps: 2 | Survival: 2/4 | Mean Reward: -0.61 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 56] Steps: 2 | Survival: 1/4 | Mean Reward: -0.72 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 57] Steps: 2 | Survival: 1/4 | Mean Reward: -0.72 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 58] Steps: 2 | Survival: 1/4 | Mean Reward: -0.74 | Collisions: 2 | Kills: 1 | Immediate Kills: 0
[Episode 59] Steps: 2 | Survival: 1/4 | Mean Reward: -0.86 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 60] Steps: 2 | Survival: 1/4 | Mean Reward: -0.74 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 61] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 62] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 63] Steps: 2 | Survival: 2/4 | Mean Reward: -0.47 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 64] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 65] Steps: 2 | Survival: 1/4 | Mean Reward: -0.72 | Collisions: 2 | Kills: 1 | Immediate Kills: 1
[Episode 66] Steps: 2 | Survival: 1/4 | Mean Reward: -0.74 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 67] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 68] Steps: 2 | Survival: 2/4 | Mean Reward: -0.46 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 69] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 1 | Kills: 1 | Immediate Kills: 0
[Episode 70] Steps: 2 | Survival: 1/4 | Mean Reward: -0.72 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 71] Steps: 2 | Survival: 2/4 | Mean Reward: -0.48 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 72] Steps: 2 | Survival: 2/4 | Mean Reward: -0.60 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 73] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 74] Steps: 2 | Survival: 1/4 | Mean Reward: -0.86 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 75] Steps: 2 | Survival: 1/4 | Mean Reward: -0.74 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 76] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 77] Steps: 2 | Survival: 1/4 | Mean Reward: -0.86 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 78] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 79] Steps: 2 | Survival: 3/4 | Mean Reward: -0.22 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 80] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 81] Steps: 2 | Survival: 2/4 | Mean Reward: -0.46 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 82] Steps: 2 | Survival: 2/4 | Mean Reward: -0.46 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 83] Steps: 2 | Survival: 3/4 | Mean Reward: -0.21 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 84] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 85] Steps: 2 | Survival: 2/4 | Mean Reward: -0.61 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 86] Steps: 2 | Survival: 2/4 | Mean Reward: -0.60 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 87] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 2 | Kills: 1 | Immediate Kills: 0
[Episode 88] Steps: 2 | Survival: 1/4 | Mean Reward: -0.72 | Collisions: 1 | Kills: 1 | Immediate Kills: 1
[Episode 89] Steps: 2 | Survival: 2/4 | Mean Reward: -0.47 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 90] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 91] Steps: 2 | Survival: 2/4 | Mean Reward: -0.47 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 92] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 93] Steps: 2 | Survival: 3/4 | Mean Reward: -0.22 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 94] Steps: 2 | Survival: 1/4 | Mean Reward: -0.86 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 95] Steps: 2 | Survival: 2/4 | Mean Reward: -0.73 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 96] Steps: 2 | Survival: 1/4 | Mean Reward: -0.86 | Collisions: 2 | Kills: 0 | Immediate Kills: 0
[Episode 97] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 98] Steps: 2 | Survival: 1/4 | Mean Reward: -0.74 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 99] Steps: 2 | Survival: 1/4 | Mean Reward: -0.74 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
Models saved to: /home/bloggerwang/robot-vaccum-rl/models/high_move_20251119_021852/move-50-collision-50-energy-100-epsilon-decay/episode_100
[Episode 100] Steps: 2 | Survival: 1/4 | Mean Reward: -0.72 | Collisions: 2 | Kills: 0 | Immediate Kills: 0
[Episode 101] Steps: 2 | Survival: 1/4 | Mean Reward: -0.72 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 102] Steps: 2 | Survival: 1/4 | Mean Reward: -0.72 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 103] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 104] Steps: 2 | Survival: 1/4 | Mean Reward: -0.86 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 105] Steps: 2 | Survival: 1/4 | Mean Reward: -0.74 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 106] Steps: 2 | Survival: 1/4 | Mean Reward: -0.72 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 107] Steps: 2 | Survival: 2/4 | Mean Reward: -0.61 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 108] Steps: 2 | Survival: 1/4 | Mean Reward: -0.72 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 109] Steps: 2 | Survival: 1/4 | Mean Reward: -0.72 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 110] Steps: 2 | Survival: 1/4 | Mean Reward: -0.74 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 111] Steps: 2 | Survival: 1/4 | Mean Reward: -0.72 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 112] Steps: 2 | Survival: 2/4 | Mean Reward: -0.47 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 113] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 114] Steps: 2 | Survival: 1/4 | Mean Reward: -0.49 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 115] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 116] Steps: 2 | Survival: 1/4 | Mean Reward: -0.74 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 117] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 118] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 119] Steps: 2 | Survival: 2/4 | Mean Reward: -0.48 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 120] Steps: 2 | Survival: 2/4 | Mean Reward: -0.60 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 121] Steps: 2 | Survival: 1/4 | Mean Reward: -0.86 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 122] Steps: 2 | Survival: 2/4 | Mean Reward: -0.47 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 123] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 124] Steps: 2 | Survival: 1/4 | Mean Reward: -0.74 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 125] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 126] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 127] Steps: 2 | Survival: 1/4 | Mean Reward: -0.74 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 128] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 129] Steps: 2 | Survival: 3/4 | Mean Reward: 0.02 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 130] Steps: 2 | Survival: 1/4 | Mean Reward: -0.74 | Collisions: 1 | Kills: 1 | Immediate Kills: 0
[Episode 131] Steps: 2 | Survival: 1/4 | Mean Reward: -0.72 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 132] Steps: 2 | Survival: 1/4 | Mean Reward: -0.86 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 133] Steps: 2 | Survival: 2/4 | Mean Reward: -0.22 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 134] Steps: 2 | Survival: 1/4 | Mean Reward: -0.72 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 135] Steps: 2 | Survival: 1/4 | Mean Reward: -0.72 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 136] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 137] Steps: 2 | Survival: 1/4 | Mean Reward: -0.72 | Collisions: 2 | Kills: 0 | Immediate Kills: 0
[Episode 138] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 1 | Kills: 1 | Immediate Kills: 0
[Episode 139] Steps: 2 | Survival: 3/4 | Mean Reward: -0.22 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 140] Steps: 2 | Survival: 1/4 | Mean Reward: -0.86 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 141] Steps: 2 | Survival: 1/4 | Mean Reward: -0.86 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 142] Steps: 2 | Survival: 1/4 | Mean Reward: -0.86 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 143] Steps: 2 | Survival: 1/4 | Mean Reward: -0.72 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 144] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 145] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 3 | Kills: 1 | Immediate Kills: 0
[Episode 146] Steps: 2 | Survival: 2/4 | Mean Reward: -0.47 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 147] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 148] Steps: 2 | Survival: 1/4 | Mean Reward: -0.74 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 149] Steps: 2 | Survival: 2/4 | Mean Reward: -0.60 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 150] Steps: 2 | Survival: 1/4 | Mean Reward: -0.74 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 151] Steps: 2 | Survival: 2/4 | Mean Reward: -0.48 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 152] Steps: 2 | Survival: 1/4 | Mean Reward: -0.86 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 153] Steps: 2 | Survival: 2/4 | Mean Reward: -0.60 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 154] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 1 | Kills: 1 | Immediate Kills: 0
[Episode 155] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 156] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 157] Steps: 2 | Survival: 2/4 | Mean Reward: -0.48 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 158] Steps: 2 | Survival: 1/4 | Mean Reward: -0.74 | Collisions: 2 | Kills: 0 | Immediate Kills: 0
[Episode 159] Steps: 2 | Survival: 1/4 | Mean Reward: -0.86 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 160] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 161] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 2 | Kills: 0 | Immediate Kills: 0
[Episode 162] Steps: 2 | Survival: 1/4 | Mean Reward: -0.74 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 163] Steps: 2 | Survival: 1/4 | Mean Reward: -0.72 | Collisions: 1 | Kills: 1 | Immediate Kills: 0
[Episode 164] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 2 | Kills: 0 | Immediate Kills: 0
