/usr/local/lib/python3.10/dist-packages/torch/utils/_pytree.py:185: FutureWarning: optree is installed but the version is too old to support PyTorch Dynamo in C++ pytree. C++ pytree support is disabled. Please consider upgrading optree using `python3 -m pip install --upgrade 'optree>=0.13.0'`.
  warnings.warn(
/usr/lib/python3/dist-packages/requests/__init__.py:87: RequestsDependencyWarning: urllib3 (2.5.0) or chardet (4.0.0) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({}) doesn't match a supported "
wandb: Currently logged in as: bloggerwang1217 (bloggerwang1217-national-taiwan-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run u4hc04e8
wandb: Tracking run with wandb version 0.23.0
wandb: Run data is saved locally in /home/bloggerwang/robot-vaccum-rl/scripts/wandb/run-20251119_021856-u4hc04e8
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run move-10-collision-50-energy-100-epsilon-decay
wandb: ⭐️ View project at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl
wandb: 🚀 View run at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl/runs/u4hc04e8
Using device: cuda
[Episode 36] Steps: 2 | Survival: 2/4 | Mean Reward: -0.62 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 37] Steps: 2 | Survival: 3/4 | Mean Reward: -0.58 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 38] Steps: 2 | Survival: 3/4 | Mean Reward: -0.12 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 39] Steps: 3 | Survival: 3/4 | Mean Reward: -0.27 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 40] Steps: 2 | Survival: 3/4 | Mean Reward: -0.36 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 41] Steps: 3 | Survival: 3/4 | Mean Reward: -0.27 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 42] Steps: 3 | Survival: 3/4 | Mean Reward: -0.42 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 43] Steps: 2 | Survival: 2/4 | Mean Reward: -0.78 | Collisions: 3 | Kills: 0 | Immediate Kills: 0
[Episode 44] Steps: 2 | Survival: 3/4 | Mean Reward: -0.43 | Collisions: 2 | Kills: 0 | Immediate Kills: 1
[Episode 45] Steps: 3 | Survival: 2/4 | Mean Reward: -0.26 | Collisions: 2 | Kills: 0 | Immediate Kills: 1
[Episode 46] Steps: 2 | Survival: 3/4 | Mean Reward: -0.42 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 47] Steps: 2 | Survival: 3/4 | Mean Reward: -0.33 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 48] Steps: 2 | Survival: 3/4 | Mean Reward: -0.53 | Collisions: 3 | Kills: 0 | Immediate Kills: 1
[Episode 49] Steps: 2 | Survival: 2/4 | Mean Reward: -0.54 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 50] Steps: 2 | Survival: 3/4 | Mean Reward: -0.58 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 51] Steps: 2 | Survival: 3/4 | Mean Reward: -0.58 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 52] Steps: 2 | Survival: 3/4 | Mean Reward: -0.32 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 53] Steps: 2 | Survival: 3/4 | Mean Reward: -0.53 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 54] Steps: 2 | Survival: 2/4 | Mean Reward: -0.78 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 55] Steps: 3 | Survival: 1/4 | Mean Reward: -0.71 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 56] Steps: 2 | Survival: 3/4 | Mean Reward: -0.58 | Collisions: 1 | Kills: 0 | Immediate Kills: 1
[Episode 57] Steps: 2 | Survival: 2/4 | Mean Reward: -0.56 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 58] Steps: 3 | Survival: 3/4 | Mean Reward: -0.50 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 59] Steps: 2 | Survival: 3/4 | Mean Reward: -0.41 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 60] Steps: 2 | Survival: 3/4 | Mean Reward: -0.68 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 61] Steps: 2 | Survival: 3/4 | Mean Reward: -0.43 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 62] Steps: 2 | Survival: 2/4 | Mean Reward: -0.78 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 63] Steps: 2 | Survival: 2/4 | Mean Reward: -0.51 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 64] Steps: 2 | Survival: 3/4 | Mean Reward: -0.58 | Collisions: 2 | Kills: 0 | Immediate Kills: 0
[Episode 65] Steps: 2 | Survival: 2/4 | Mean Reward: -0.78 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 66] Steps: 3 | Survival: 3/4 | Mean Reward: -0.31 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 67] Steps: 3 | Survival: 3/4 | Mean Reward: -0.13 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 68] Steps: 2 | Survival: 3/4 | Mean Reward: -0.56 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 69] Steps: 3 | Survival: 3/4 | Mean Reward: -0.26 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 70] Steps: 2 | Survival: 2/4 | Mean Reward: -0.66 | Collisions: 2 | Kills: 0 | Immediate Kills: 1
[Episode 71] Steps: 2 | Survival: 2/4 | Mean Reward: -0.66 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 72] Steps: 2 | Survival: 3/4 | Mean Reward: -0.42 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 73] Steps: 3 | Survival: 3/4 | Mean Reward: -0.50 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 74] Steps: 2 | Survival: 2/4 | Mean Reward: -0.78 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 75] Steps: 3 | Survival: 3/4 | Mean Reward: -0.28 | Collisions: 2 | Kills: 0 | Immediate Kills: 0
[Episode 76] Steps: 2 | Survival: 2/4 | Mean Reward: -0.78 | Collisions: 2 | Kills: 0 | Immediate Kills: 0
[Episode 77] Steps: 3 | Survival: 2/4 | Mean Reward: -0.40 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 78] Steps: 4 | Survival: 2/4 | Mean Reward: -0.15 | Collisions: 1 | Kills: 1 | Immediate Kills: 1
[Episode 79] Steps: 2 | Survival: 2/4 | Mean Reward: -0.54 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 80] Steps: 2 | Survival: 2/4 | Mean Reward: -0.78 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 81] Steps: 3 | Survival: 2/4 | Mean Reward: -0.46 | Collisions: 2 | Kills: 0 | Immediate Kills: 1
[Episode 82] Steps: 2 | Survival: 3/4 | Mean Reward: -0.41 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 83] Steps: 3 | Survival: 2/4 | Mean Reward: -0.66 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 84] Steps: 2 | Survival: 3/4 | Mean Reward: -0.68 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 85] Steps: 2 | Survival: 3/4 | Mean Reward: -0.43 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 86] Steps: 2 | Survival: 3/4 | Mean Reward: -0.58 | Collisions: 1 | Kills: 0 | Immediate Kills: 1
[Episode 87] Steps: 2 | Survival: 2/4 | Mean Reward: -0.62 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 88] Steps: 4 | Survival: 2/4 | Mean Reward: -0.36 | Collisions: 3 | Kills: 0 | Immediate Kills: 1
[Episode 89] Steps: 3 | Survival: 2/4 | Mean Reward: -0.45 | Collisions: 3 | Kills: 0 | Immediate Kills: 1
[Episode 90] Steps: 2 | Survival: 3/4 | Mean Reward: -0.58 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 91] Steps: 2 | Survival: 3/4 | Mean Reward: -0.43 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 92] Steps: 4 | Survival: 3/4 | Mean Reward: -0.44 | Collisions: 2 | Kills: 0 | Immediate Kills: 0
[Episode 93] Steps: 2 | Survival: 2/4 | Mean Reward: -0.62 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 94] Steps: 2 | Survival: 3/4 | Mean Reward: -0.18 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 95] Steps: 2 | Survival: 3/4 | Mean Reward: -0.53 | Collisions: 2 | Kills: 0 | Immediate Kills: 0
[Episode 96] Steps: 2 | Survival: 1/4 | Mean Reward: -0.76 | Collisions: 1 | Kills: 0 | Immediate Kills: 1
[Episode 97] Steps: 2 | Survival: 2/4 | Mean Reward: -0.78 | Collisions: 2 | Kills: 0 | Immediate Kills: 1
[Episode 98] Steps: 2 | Survival: 2/4 | Mean Reward: -0.78 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 99] Steps: 2 | Survival: 3/4 | Mean Reward: -0.11 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
Models saved to: /home/bloggerwang/robot-vaccum-rl/models/high_move_20251119_021852/move-10-collision-50-energy-100-epsilon-decay/episode_100
[Episode 100] Steps: 2 | Survival: 3/4 | Mean Reward: -0.39 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 101] Steps: 2 | Survival: 3/4 | Mean Reward: -0.42 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 102] Steps: 2 | Survival: 3/4 | Mean Reward: -0.06 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 103] Steps: 2 | Survival: 3/4 | Mean Reward: -0.32 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 104] Steps: 3 | Survival: 2/4 | Mean Reward: -0.60 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 105] Steps: 2 | Survival: 1/4 | Mean Reward: -0.89 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 106] Steps: 2 | Survival: 3/4 | Mean Reward: -0.52 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 107] Steps: 2 | Survival: 2/4 | Mean Reward: -0.69 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 108] Steps: 3 | Survival: 2/4 | Mean Reward: -0.34 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 109] Steps: 2 | Survival: 3/4 | Mean Reward: -0.28 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 110] Steps: 2 | Survival: 3/4 | Mean Reward: -0.36 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 111] Steps: 2 | Survival: 3/4 | Mean Reward: -0.52 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 112] Steps: 2 | Survival: 3/4 | Mean Reward: -0.43 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 113] Steps: 3 | Survival: 3/4 | Mean Reward: -0.27 | Collisions: 2 | Kills: 0 | Immediate Kills: 0
[Episode 114] Steps: 2 | Survival: 2/4 | Mean Reward: -0.69 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 115] Steps: 2 | Survival: 2/4 | Mean Reward: -0.62 | Collisions: 2 | Kills: 0 | Immediate Kills: 0
[Episode 116] Steps: 2 | Survival: 3/4 | Mean Reward: -0.58 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
