/usr/local/lib/python3.10/dist-packages/torch/utils/_pytree.py:185: FutureWarning: optree is installed but the version is too old to support PyTorch Dynamo in C++ pytree. C++ pytree support is disabled. Please consider upgrading optree using `python3 -m pip install --upgrade 'optree>=0.13.0'`.
  warnings.warn(
/usr/lib/python3/dist-packages/requests/__init__.py:87: RequestsDependencyWarning: urllib3 (2.5.0) or chardet (4.0.0) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({}) doesn't match a supported "
wandb: Currently logged in as: bloggerwang1217 (bloggerwang1217-national-taiwan-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run xzr85t22
wandb: Tracking run with wandb version 0.23.0
wandb: Run data is saved locally in /home/bloggerwang/robot-vaccum-rl/wandb/run-20251118_022001-xzr85t22
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run collision-10-energy-150
wandb: ⭐️ View project at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl
wandb: 🚀 View run at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl/runs/xzr85t22
Using device: cuda
[Episode 45] Steps: 15 | Survival: 3/4 | Mean Reward: -0.98 | Collisions: 21 | Kills: 5
[Episode 46] Steps: 15 | Survival: 3/4 | Mean Reward: -0.92 | Collisions: 0 | Kills: 0
[Episode 47] Steps: 17 | Survival: 3/4 | Mean Reward: -0.67 | Collisions: 5 | Kills: 0
[Episode 48] Steps: 18 | Survival: 3/4 | Mean Reward: -0.84 | Collisions: 13 | Kills: 0
[Episode 49] Steps: 15 | Survival: 3/4 | Mean Reward: -0.93 | Collisions: 13 | Kills: 0
[Episode 50] Steps: 17 | Survival: 3/4 | Mean Reward: -0.38 | Collisions: 8 | Kills: 0
[Episode 51] Steps: 17 | Survival: 2/4 | Mean Reward: -0.67 | Collisions: 7 | Kills: 0
[Episode 52] Steps: 17 | Survival: 3/4 | Mean Reward: -0.30 | Collisions: 6 | Kills: 0
[Episode 53] Steps: 17 | Survival: 2/4 | Mean Reward: -0.94 | Collisions: 11 | Kills: 3
[Episode 54] Steps: 15 | Survival: 3/4 | Mean Reward: -1.00 | Collisions: 15 | Kills: 0
[Episode 55] Steps: 16 | Survival: 2/4 | Mean Reward: -1.26 | Collisions: 14 | Kills: 3
[Episode 56] Steps: 15 | Survival: 2/4 | Mean Reward: -1.17 | Collisions: 11 | Kills: 5
[Episode 57] Steps: 16 | Survival: 3/4 | Mean Reward: -0.91 | Collisions: 10 | Kills: 1
[Episode 58] Steps: 20 | Survival: 2/4 | Mean Reward: -0.61 | Collisions: 11 | Kills: 1
[Episode 59] Steps: 18 | Survival: 3/4 | Mean Reward: -0.64 | Collisions: 3 | Kills: 0
[Episode 60] Steps: 15 | Survival: 2/4 | Mean Reward: -0.89 | Collisions: 2 | Kills: 0
[Episode 61] Steps: 20 | Survival: 3/4 | Mean Reward: 0.30 | Collisions: 7 | Kills: 0
[Episode 62] Steps: 45 | Survival: 3/4 | Mean Reward: 7.46 | Collisions: 10 | Kills: 1
[Episode 63] Steps: 146 | Survival: 3/4 | Mean Reward: 41.20 | Collisions: 29 | Kills: 0
[Episode 64] Steps: 55 | Survival: 3/4 | Mean Reward: 13.66 | Collisions: 17 | Kills: 1
[Episode 65] Steps: 21 | Survival: 3/4 | Mean Reward: 5.62 | Collisions: 18 | Kills: 0
[Episode 66] Steps: 80 | Survival: 3/4 | Mean Reward: 24.29 | Collisions: 21 | Kills: 2
[Episode 67] Steps: 64 | Survival: 3/4 | Mean Reward: 16.10 | Collisions: 14 | Kills: 0
[Episode 68] Steps: 39 | Survival: 3/4 | Mean Reward: 12.23 | Collisions: 12 | Kills: 2
[Episode 69] Steps: 19 | Survival: 3/4 | Mean Reward: 4.92 | Collisions: 10 | Kills: 1
[Episode 70] Steps: 162 | Survival: 3/4 | Mean Reward: 48.83 | Collisions: 25 | Kills: 0
[Episode 71] Steps: 40 | Survival: 3/4 | Mean Reward: 13.85 | Collisions: 2 | Kills: 0
[Episode 72] Steps: 41 | Survival: 3/4 | Mean Reward: 12.68 | Collisions: 21 | Kills: 1
[Episode 73] Steps: 45 | Survival: 3/4 | Mean Reward: 13.04 | Collisions: 14 | Kills: 0
[Episode 74] Steps: 22 | Survival: 3/4 | Mean Reward: 3.95 | Collisions: 4 | Kills: 0
[Episode 75] Steps: 69 | Survival: 3/4 | Mean Reward: 18.76 | Collisions: 34 | Kills: 5
[Episode 76] Steps: 141 | Survival: 3/4 | Mean Reward: 43.84 | Collisions: 39 | Kills: 1
[Episode 77] Steps: 500 | Survival: 4/4 | Mean Reward: 194.50 | Collisions: 20 | Kills: 0
[Episode 78] Steps: 43 | Survival: 3/4 | Mean Reward: 14.10 | Collisions: 22 | Kills: 0
[Episode 79] Steps: 119 | Survival: 3/4 | Mean Reward: 43.44 | Collisions: 17 | Kills: 1
[Episode 80] Steps: 500 | Survival: 4/4 | Mean Reward: 194.25 | Collisions: 13 | Kills: 0
[Episode 81] Steps: 500 | Survival: 4/4 | Mean Reward: 196.49 | Collisions: 13 | Kills: 0
[Episode 82] Steps: 500 | Survival: 4/4 | Mean Reward: 199.37 | Collisions: 15 | Kills: 0
[Episode 83] Steps: 500 | Survival: 4/4 | Mean Reward: 194.34 | Collisions: 17 | Kills: 0
[Episode 84] Steps: 500 | Survival: 4/4 | Mean Reward: 195.97 | Collisions: 20 | Kills: 0
[Episode 85] Steps: 500 | Survival: 4/4 | Mean Reward: 192.50 | Collisions: 26 | Kills: 0
[Episode 86] Steps: 345 | Survival: 3/4 | Mean Reward: 129.79 | Collisions: 36 | Kills: 1
[Episode 87] Steps: 500 | Survival: 4/4 | Mean Reward: 192.35 | Collisions: 37 | Kills: 0
[Episode 88] Steps: 500 | Survival: 4/4 | Mean Reward: 195.61 | Collisions: 15 | Kills: 0
[Episode 89] Steps: 419 | Survival: 3/4 | Mean Reward: 165.29 | Collisions: 16 | Kills: 0
[Episode 90] Steps: 500 | Survival: 4/4 | Mean Reward: 200.25 | Collisions: 13 | Kills: 0
[Episode 91] Steps: 500 | Survival: 4/4 | Mean Reward: 196.34 | Collisions: 15 | Kills: 0
[Episode 92] Steps: 500 | Survival: 4/4 | Mean Reward: 190.31 | Collisions: 21 | Kills: 0
[Episode 93] Steps: 500 | Survival: 4/4 | Mean Reward: 196.83 | Collisions: 10 | Kills: 0
[Episode 94] Steps: 500 | Survival: 4/4 | Mean Reward: 196.97 | Collisions: 13 | Kills: 0
[Episode 95] Steps: 344 | Survival: 3/4 | Mean Reward: 134.12 | Collisions: 25 | Kills: 2
[Episode 96] Steps: 401 | Survival: 3/4 | Mean Reward: 151.98 | Collisions: 37 | Kills: 1
[Episode 97] Steps: 500 | Survival: 4/4 | Mean Reward: 195.36 | Collisions: 16 | Kills: 0
[Episode 98] Steps: 500 | Survival: 4/4 | Mean Reward: 194.73 | Collisions: 19 | Kills: 0
[Episode 99] Steps: 500 | Survival: 4/4 | Mean Reward: 197.35 | Collisions: 10 | Kills: 0
[Episode 100] Steps: 500 | Survival: 4/4 | Mean Reward: 193.54 | Collisions: 16 | Kills: 0
[Episode 101] Steps: 500 | Survival: 4/4 | Mean Reward: 193.49 | Collisions: 16 | Kills: 0
[Episode 102] Steps: 500 | Survival: 4/4 | Mean Reward: 192.12 | Collisions: 18 | Kills: 0
[Episode 103] Steps: 500 | Survival: 4/4 | Mean Reward: 195.24 | Collisions: 16 | Kills: 0
[Episode 104] Steps: 500 | Survival: 4/4 | Mean Reward: 198.62 | Collisions: 15 | Kills: 0
[Episode 105] Steps: 500 | Survival: 4/4 | Mean Reward: 200.37 | Collisions: 14 | Kills: 0
[Episode 106] Steps: 500 | Survival: 4/4 | Mean Reward: 192.84 | Collisions: 19 | Kills: 0
[Episode 107] Steps: 500 | Survival: 4/4 | Mean Reward: 198.35 | Collisions: 14 | Kills: 0
[Episode 108] Steps: 335 | Survival: 3/4 | Mean Reward: 125.44 | Collisions: 24 | Kills: 0
[Episode 109] Steps: 458 | Survival: 3/4 | Mean Reward: 171.01 | Collisions: 18 | Kills: 0
[Episode 110] Steps: 500 | Survival: 4/4 | Mean Reward: 200.72 | Collisions: 14 | Kills: 0
[Episode 111] Steps: 500 | Survival: 4/4 | Mean Reward: 201.60 | Collisions: 12 | Kills: 0
[Episode 112] Steps: 500 | Survival: 4/4 | Mean Reward: 193.62 | Collisions: 20 | Kills: 0
[Episode 113] Steps: 500 | Survival: 4/4 | Mean Reward: 196.12 | Collisions: 9 | Kills: 0
[Episode 114] Steps: 500 | Survival: 4/4 | Mean Reward: 197.99 | Collisions: 20 | Kills: 0
[Episode 115] Steps: 500 | Survival: 4/4 | Mean Reward: 192.37 | Collisions: 16 | Kills: 0
[Episode 116] Steps: 500 | Survival: 4/4 | Mean Reward: 198.47 | Collisions: 13 | Kills: 0
[Episode 117] Steps: 500 | Survival: 4/4 | Mean Reward: 196.37 | Collisions: 12 | Kills: 0
[Episode 118] Steps: 500 | Survival: 4/4 | Mean Reward: 197.62 | Collisions: 15 | Kills: 0
[Episode 119] Steps: 499 | Survival: 3/4 | Mean Reward: 181.87 | Collisions: 36 | Kills: 1
[Episode 120] Steps: 500 | Survival: 4/4 | Mean Reward: 200.37 | Collisions: 10 | Kills: 0
[Episode 121] Steps: 363 | Survival: 3/4 | Mean Reward: 142.50 | Collisions: 6 | Kills: 0
[Episode 122] Steps: 500 | Survival: 4/4 | Mean Reward: 202.37 | Collisions: 15 | Kills: 0
[Episode 123] Steps: 500 | Survival: 4/4 | Mean Reward: 191.75 | Collisions: 30 | Kills: 0
[Episode 124] Steps: 500 | Survival: 4/4 | Mean Reward: 199.00 | Collisions: 14 | Kills: 0
[Episode 125] Steps: 500 | Survival: 4/4 | Mean Reward: 199.93 | Collisions: 16 | Kills: 0
[Episode 126] Steps: 500 | Survival: 4/4 | Mean Reward: 195.99 | Collisions: 14 | Kills: 0
[Episode 127] Steps: 500 | Survival: 4/4 | Mean Reward: 200.59 | Collisions: 7 | Kills: 0
[Episode 128] Steps: 99 | Survival: 3/4 | Mean Reward: 37.99 | Collisions: 18 | Kills: 0
[Episode 129] Steps: 500 | Survival: 4/4 | Mean Reward: 189.36 | Collisions: 23 | Kills: 0
[Episode 130] Steps: 500 | Survival: 4/4 | Mean Reward: 195.58 | Collisions: 10 | Kills: 0
[Episode 131] Steps: 500 | Survival: 4/4 | Mean Reward: 195.84 | Collisions: 16 | Kills: 0
[Episode 132] Steps: 500 | Survival: 4/4 | Mean Reward: 190.97 | Collisions: 17 | Kills: 0
[Episode 133] Steps: 423 | Survival: 3/4 | Mean Reward: 155.33 | Collisions: 45 | Kills: 0
[Episode 134] Steps: 500 | Survival: 4/4 | Mean Reward: 198.21 | Collisions: 19 | Kills: 0
[Episode 135] Steps: 344 | Survival: 3/4 | Mean Reward: 117.47 | Collisions: 33 | Kills: 0
[Episode 136] Steps: 280 | Survival: 3/4 | Mean Reward: 106.88 | Collisions: 25 | Kills: 0
[Episode 137] Steps: 500 | Survival: 4/4 | Mean Reward: 197.24 | Collisions: 10 | Kills: 0
[Episode 138] Steps: 500 | Survival: 4/4 | Mean Reward: 195.37 | Collisions: 15 | Kills: 0
[Episode 139] Steps: 121 | Survival: 3/4 | Mean Reward: 38.69 | Collisions: 22 | Kills: 0
[Episode 140] Steps: 223 | Survival: 3/4 | Mean Reward: 79.23 | Collisions: 24 | Kills: 0
[Episode 141] Steps: 500 | Survival: 4/4 | Mean Reward: 192.30 | Collisions: 23 | Kills: 0
[Episode 142] Steps: 179 | Survival: 3/4 | Mean Reward: 65.54 | Collisions: 18 | Kills: 0
[Episode 143] Steps: 500 | Survival: 4/4 | Mean Reward: 202.61 | Collisions: 16 | Kills: 0
[Episode 144] Steps: 500 | Survival: 4/4 | Mean Reward: 194.62 | Collisions: 17 | Kills: 0
[Episode 145] Steps: 136 | Survival: 3/4 | Mean Reward: 43.98 | Collisions: 18 | Kills: 0
[Episode 146] Steps: 500 | Survival: 4/4 | Mean Reward: 192.49 | Collisions: 17 | Kills: 0
[Episode 147] Steps: 500 | Survival: 4/4 | Mean Reward: 197.73 | Collisions: 13 | Kills: 0
[Episode 148] Steps: 500 | Survival: 4/4 | Mean Reward: 197.99 | Collisions: 15 | Kills: 0
[Episode 149] Steps: 299 | Survival: 3/4 | Mean Reward: 98.53 | Collisions: 44 | Kills: 0
[Episode 150] Steps: 500 | Survival: 4/4 | Mean Reward: 195.18 | Collisions: 17 | Kills: 0
[Episode 151] Steps: 500 | Survival: 4/4 | Mean Reward: 196.60 | Collisions: 16 | Kills: 0
[Episode 152] Steps: 155 | Survival: 3/4 | Mean Reward: 57.92 | Collisions: 12 | Kills: 0
[Episode 153] Steps: 500 | Survival: 4/4 | Mean Reward: 195.72 | Collisions: 9 | Kills: 0
[Episode 154] Steps: 420 | Survival: 3/4 | Mean Reward: 153.37 | Collisions: 30 | Kills: 0
[Episode 155] Steps: 254 | Survival: 3/4 | Mean Reward: 94.77 | Collisions: 26 | Kills: 0
[Episode 156] Steps: 500 | Survival: 4/4 | Mean Reward: 192.17 | Collisions: 22 | Kills: 0
[Episode 157] Steps: 500 | Survival: 4/4 | Mean Reward: 198.49 | Collisions: 15 | Kills: 0
[Episode 158] Steps: 500 | Survival: 4/4 | Mean Reward: 193.23 | Collisions: 32 | Kills: 0
[Episode 159] Steps: 500 | Survival: 4/4 | Mean Reward: 197.33 | Collisions: 14 | Kills: 0
[Episode 160] Steps: 500 | Survival: 4/4 | Mean Reward: 199.37 | Collisions: 18 | Kills: 0
[Episode 161] Steps: 500 | Survival: 4/4 | Mean Reward: 199.29 | Collisions: 18 | Kills: 0
[Episode 162] Steps: 500 | Survival: 4/4 | Mean Reward: 191.60 | Collisions: 15 | Kills: 0
[Episode 163] Steps: 500 | Survival: 4/4 | Mean Reward: 194.88 | Collisions: 16 | Kills: 0
[Episode 164] Steps: 500 | Survival: 4/4 | Mean Reward: 196.77 | Collisions: 16 | Kills: 0
[Episode 165] Steps: 500 | Survival: 4/4 | Mean Reward: 198.00 | Collisions: 16 | Kills: 0
[Episode 166] Steps: 329 | Survival: 3/4 | Mean Reward: 119.93 | Collisions: 28 | Kills: 0
[Episode 167] Steps: 500 | Survival: 4/4 | Mean Reward: 196.47 | Collisions: 18 | Kills: 0
[Episode 168] Steps: 500 | Survival: 4/4 | Mean Reward: 186.20 | Collisions: 29 | Kills: 0
[Episode 169] Steps: 148 | Survival: 3/4 | Mean Reward: 51.31 | Collisions: 22 | Kills: 3
[Episode 170] Steps: 500 | Survival: 4/4 | Mean Reward: 172.00 | Collisions: 49 | Kills: 0
[Episode 171] Steps: 100 | Survival: 3/4 | Mean Reward: 28.74 | Collisions: 45 | Kills: 0
[Episode 172] Steps: 78 | Survival: 3/4 | Mean Reward: 24.30 | Collisions: 23 | Kills: 2
[Episode 173] Steps: 500 | Survival: 4/4 | Mean Reward: 200.82 | Collisions: 9 | Kills: 0
[Episode 174] Steps: 500 | Survival: 4/4 | Mean Reward: 181.97 | Collisions: 40 | Kills: 0
[Episode 175] Steps: 500 | Survival: 4/4 | Mean Reward: 199.01 | Collisions: 10 | Kills: 0
[Episode 176] Steps: 490 | Survival: 3/4 | Mean Reward: 188.52 | Collisions: 27 | Kills: 0
[Episode 177] Steps: 500 | Survival: 4/4 | Mean Reward: 197.11 | Collisions: 22 | Kills: 0
[Episode 178] Steps: 500 | Survival: 4/4 | Mean Reward: 190.71 | Collisions: 26 | Kills: 0
[Episode 179] Steps: 500 | Survival: 4/4 | Mean Reward: 191.37 | Collisions: 8 | Kills: 0
[Episode 180] Steps: 500 | Survival: 4/4 | Mean Reward: 195.10 | Collisions: 28 | Kills: 0
[Episode 181] Steps: 281 | Survival: 3/4 | Mean Reward: 101.93 | Collisions: 29 | Kills: 0
[Episode 182] Steps: 500 | Survival: 4/4 | Mean Reward: 196.21 | Collisions: 13 | Kills: 0
[Episode 183] Steps: 500 | Survival: 4/4 | Mean Reward: 185.40 | Collisions: 36 | Kills: 0
