/usr/local/lib/python3.10/dist-packages/torch/utils/_pytree.py:185: FutureWarning: optree is installed but the version is too old to support PyTorch Dynamo in C++ pytree. C++ pytree support is disabled. Please consider upgrading optree using `python3 -m pip install --upgrade 'optree>=0.13.0'`.
  warnings.warn(
/usr/lib/python3/dist-packages/requests/__init__.py:87: RequestsDependencyWarning: urllib3 (2.5.0) or chardet (4.0.0) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({}) doesn't match a supported "
wandb: Currently logged in as: bloggerwang1217 (bloggerwang1217-national-taiwan-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 8sg792w6
wandb: Tracking run with wandb version 0.23.0
wandb: Run data is saved locally in /home/bloggerwang/robot-vaccum-rl/scripts/wandb/run-20251119_081705-8sg792w6
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run move-50-collision-50-energy-150-epsilon-decay
wandb: ⭐️ View project at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl
wandb: 🚀 View run at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl/runs/8sg792w6
Using device: cuda
[Episode 35] Steps: 3 | Survival: 2/4 | Mean Reward: -1.09 | Collisions: 2 | Kills: 0 | Immediate Kills: 1
[Episode 36] Steps: 3 | Survival: 1/4 | Mean Reward: -1.21 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 37] Steps: 3 | Survival: 2/4 | Mean Reward: -0.96 | Collisions: 3 | Kills: 0 | Immediate Kills: 1
[Episode 38] Steps: 3 | Survival: 2/4 | Mean Reward: -1.09 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 39] Steps: 3 | Survival: 0/4 | Mean Reward: -1.48 | Collisions: 1 | Kills: 1 | Immediate Kills: 0
[Episode 40] Steps: 3 | Survival: 1/4 | Mean Reward: -1.35 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 41] Steps: 3 | Survival: 1/4 | Mean Reward: -1.23 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 42] Steps: 3 | Survival: 2/4 | Mean Reward: -0.69 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 43] Steps: 3 | Survival: 1/4 | Mean Reward: -1.21 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 44] Steps: 3 | Survival: 0/4 | Mean Reward: -1.48 | Collisions: 2 | Kills: 1 | Immediate Kills: 0
[Episode 45] Steps: 3 | Survival: 3/4 | Mean Reward: -0.70 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 46] Steps: 3 | Survival: 1/4 | Mean Reward: -1.21 | Collisions: 3 | Kills: 0 | Immediate Kills: 0
[Episode 47] Steps: 3 | Survival: 1/4 | Mean Reward: -1.35 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 48] Steps: 3 | Survival: 1/4 | Mean Reward: -1.21 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 49] Steps: 3 | Survival: 0/4 | Mean Reward: -1.48 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 50] Steps: 3 | Survival: 3/4 | Mean Reward: -0.70 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 51] Steps: 3 | Survival: 1/4 | Mean Reward: -1.35 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 52] Steps: 3 | Survival: 1/4 | Mean Reward: -1.21 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 53] Steps: 3 | Survival: 3/4 | Mean Reward: -0.45 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 54] Steps: 3 | Survival: 1/4 | Mean Reward: -1.21 | Collisions: 1 | Kills: 1 | Immediate Kills: 0
[Episode 55] Steps: 3 | Survival: 2/4 | Mean Reward: -1.10 | Collisions: 2 | Kills: 0 | Immediate Kills: 1
[Episode 56] Steps: 3 | Survival: 0/4 | Mean Reward: -1.48 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 57] Steps: 3 | Survival: 2/4 | Mean Reward: -0.71 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 58] Steps: 3 | Survival: 2/4 | Mean Reward: -1.09 | Collisions: 2 | Kills: 1 | Immediate Kills: 0
[Episode 59] Steps: 3 | Survival: 3/4 | Mean Reward: -0.97 | Collisions: 2 | Kills: 1 | Immediate Kills: 1
[Episode 60] Steps: 3 | Survival: 3/4 | Mean Reward: -0.71 | Collisions: 2 | Kills: 0 | Immediate Kills: 0
[Episode 61] Steps: 3 | Survival: 2/4 | Mean Reward: -0.96 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 62] Steps: 3 | Survival: 1/4 | Mean Reward: -0.95 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 63] Steps: 3 | Survival: 3/4 | Mean Reward: -0.70 | Collisions: 2 | Kills: 0 | Immediate Kills: 0
[Episode 64] Steps: 3 | Survival: 1/4 | Mean Reward: -1.35 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 65] Steps: 3 | Survival: 2/4 | Mean Reward: -1.09 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 66] Steps: 3 | Survival: 0/4 | Mean Reward: -1.48 | Collisions: 1 | Kills: 1 | Immediate Kills: 0
[Episode 67] Steps: 3 | Survival: 2/4 | Mean Reward: -0.71 | Collisions: 1 | Kills: 0 | Immediate Kills: 1
[Episode 68] Steps: 3 | Survival: 2/4 | Mean Reward: -0.45 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 69] Steps: 3 | Survival: 0/4 | Mean Reward: -1.48 | Collisions: 2 | Kills: 1 | Immediate Kills: 0
[Episode 70] Steps: 3 | Survival: 1/4 | Mean Reward: -1.35 | Collisions: 2 | Kills: 1 | Immediate Kills: 1
